Question text,Explannation,Correct Answer ID, Correct Answer
What is Exploratory Testing?,Exploratory testing involves designing and executing tests simultaneously while learning about the system. Testers use their domain knowledge to actively explore the application.,Answer 159,"Simultaneous learning, test design, and test execution"
Which of the following is NOT a level of testing in the traditional testing pyramid?,"The testing pyramid consists of Unit tests (base), Integration/Service tests (middle), and UI/E2E tests (top). Deployment tests are not a standard level of the testing pyramid.",Answer 165,Deployment Tests
What is Test-Driven Development (TDD)?,"TDD follows a ""Red-Green-Refactor"" cycle: write a failing test first, write minimal code to pass it, then refactor. Tests drive the design and implementation.",Answer 167,Writing tests before writing the corresponding code
Which testing approach involves testing the system with knowledge of its internal structure and code?,"White-box testing (clear box/structural testing) requires knowledge of internal code structure. Testers design cases based on code paths, conditions, and data flows.",Answer 171,White-box testing
What is the primary purpose of a Defect/Bug Report?,"A good bug report provides clear, objective information about a defect (steps to reproduce, expected vs. actual behavior, environment) to help developers understand and fix it efficiently.",Answer 175,To communicate defect information clearly for reproduction and fixing
Which of these is an example of a non-functional requirement?,"Performance requirements (transactions per second) are non-functional. Functional requirements (A, C, D) describe what the system does. Non-functional requirements describe how the system performs.",Answer 179,The system shall process 1000 transactions per second
"What does ""Smoke Testing"" refer to?","Smoke testing (build verification testing) runs minimal tests to verify that the basic functionality works. If smoke tests fail, the build is rejected before further testing.",Answer 183,A preliminary test to reveal simple failures severe enough to reject a build
"Which quality model defines characteristics like Functionality, Reliability, Usability, Efficiency, Maintainability, and Portability?","ISO/IEC 25010 (replacing ISO 9126) defines software product quality characteristics including functional suitability, reliability, usability, performance efficiency, compatibility, security, maintainability, and portability.",Answer 187,ISO/IEC 25010 (SQuaRE)
What is the primary difference between Verification and Validation?,Verification (Are we building the product correctly?) checks against specifications. Validation (Are we building the correct product?) checks against user needs and intended use.,Answer 191,Verification checks conformance to specifications; Validation checks fitness for use
In which phase of the SDLC is the cost of fixing a defect typically lowest?,"Defects found during requirements phase are cheapest to fix. Costs increase exponentially as the defect progresses through design, coding, testing, and is most expensive after production release.",Answer 195,Requirements
What is Alpha Testing?,Alpha testing is performed by internal users/customers at the developer's site before release. Beta testing (B) is performed by end users at their own locations.,Answer 198,Testing performed by end users at the developer's site
Which tool is primarily used for managing and tracking defects?,"Jira is a widely used issue and project tracking tool for defect management. JMeter (A) is for performance testing, Jenkins (C) for CI/CD, and Selenium (D) for browser automation.",Answer 203,Jira
"What does ""Sanity Testing"" verify?",Sanity testing is a narrow regression test focused on one or a few functionality areas to verify that recent changes haven't broken related functionality. It's deeper than smoke testing but narrower than full regression.,Answer 207,Whether specific functionality works roughly as expected after minor changes
What is the main purpose of a Test Strategy document?,"A Test Strategy is a high-level document outlining overall testing objectives, scope, levels, types, and approach. Test plans are more specific to a project/release, while test cases guide daily execution.",Answer 211,"To define the high-level approach, objectives, and scope of testing for the organization/project"
Which approach involves writing tests based on the expected behavior of the system from the user's perspective?,"BDD uses natural language constructs (Given-When-Then) to describe expected behavior from the stakeholder's perspective, bridging communication between technical and non-technical team members.",Answer 214,Behavior-Driven Development (BDD)
"What is a ""flaky test""?","Flaky tests produce non-deterministic results—sometimes passing, sometimes failing without code changes. They're problematic because they reduce confidence in test suites and CI/CD pipelines.",Answer 219,A test that produces inconsistent results (passes and fails) without code changes
What is the main benefit of Test Automation?,"Automation excels at repeated execution (especially regression) with speed and consistency. It doesn't eliminate manual testing (A) or necessarily find more bugs (C), and it requires significant maintenance (D).",Answer 223,"It enables repeatable, fast execution of regression tests"
Which of the following is a key metric for measuring test effectiveness?,"Defect Detection Percentage measures what percentage of total defects were found during testing versus post-release. It's a key effectiveness metric. Number of test cases (A) is an activity metric, not effectiveness.",Answer 227,Defect Detection Percentage (DDP)
"What is the purpose of a ""Definition of Done"" (DoD) in Agile QA?","The Definition of Done is a shared understanding of what it means for work to be complete, including coding, testing, documentation, and review criteria. It ensures consistent quality and ""releasable"" increments.",Answer 230,To define when a user story or feature meets all quality criteria and is releasable
Which testing technique is based on the tester's experience and intuition to find defects?,"Error guessing is an experience-based technique where testers use intuition and experience to guess where defects are likely to occur, often supplementing formal techniques.",Answer 235,Error Guessing
