Question text,Answer ID,Quiz Answer Description,
"Requirement and Analysis, Design, Development or Coding, Testing, and Maintenance is called a Software Development Life Cycle (SDLC )",Answer 37,FALSE,
What is the primary goal of Software Quality Assurance (SQA)?,Answer 38,To find bugs in the software,
What is the primary goal of Software Quality Assurance (SQA)?,Answer 39,To ensure the software meets requirements and functions correctly,
What is the primary goal of Software Quality Assurance (SQA)?,Answer 40,To test software after development is complete,
What is the primary goal of Software Quality Assurance (SQA)?,Answer 41,To write code faster,
Which of the following best describes the difference between Quality Assurance (QA) and Quality Control (QC)?,Answer 42,QA is process-oriented; QC is product-oriented,
Which of the following best describes the difference between Quality Assurance (QA) and Quality Control (QC)?,Answer 43,QA is product-oriented; QC is process-oriented,
Which of the following best describes the difference between Quality Assurance (QA) and Quality Control (QC)?,Answer 44,QA and QC are identical terms,
Which of the following best describes the difference between Quality Assurance (QA) and Quality Control (QC)?,Answer 45,QA is done by developers; QC is done by customers,
What does the V-Model of software development emphasize?,Answer 46,Rapid prototyping,
What does the V-Model of software development emphasize?,Answer 47,The relationship between development phases and corresponding testing phases,
What does the V-Model of software development emphasize?,Answer 48,Continuous integration,
What does the V-Model of software development emphasize?,Answer 49,Ad-hoc testing,
Which testing level is performed first in the software testing lifecycle?,Answer 50,System Testing,
Which testing level is performed first in the software testing lifecycle?,Answer 51,Integration Testing,
Which testing level is performed first in the software testing lifecycle?,Answer 52,Unit Testing,
Which testing level is performed first in the software testing lifecycle?,Answer 53,Acceptance Testing,
Black-box testing is also known as:,Answer 54,Structural testing,
Black-box testing is also known as:,Answer 55,Functional testing,
Black-box testing is also known as:,Answer 56,Glass-box testing,
Black-box testing is also known as:,Answer 57,Code-based testing,
Which of the following is NOT a principle of software testing?,Answer 58,"Testing shows the presence of defects, not their absence",
Which of the following is NOT a principle of software testing?,Answer 59,Exhaustive testing is possible,
Which of the following is NOT a principle of software testing?,Answer 60,Early testing saves time and money,
Which of the following is NOT a principle of software testing?,Answer 61,Defects cluster together,
What is the main purpose of a Test Plan?,Answer 62,To write test cases,
What is the main purpose of a Test Plan?,Answer 63,"To document the scope, approach, resources, and schedule of testing activities",
What is the main purpose of a Test Plan?,Answer 64,To execute tests,
What is the main purpose of a Test Plan?,Answer 65,To fix bugs,
"In Agile methodology, when should testing activities begin?",Answer 66,After development is complete,
"In Agile methodology, when should testing activities begin?",Answer 67,During the coding phase only,
"In Agile methodology, when should testing activities begin?",Answer 68,"As early as possible, often starting from requirements",
"In Agile methodology, when should testing activities begin?",Answer 69,Only during the final sprint,
What is Regression Testing?,Answer 70,Testing a single module for the first time,
What is Regression Testing?,Answer 71,Re-testing fixed defects to ensure they are resolved,
What is Regression Testing?,Answer 72,Testing existing functionality to ensure new changes haven't broken anything,
What is Regression Testing?,Answer 73,Testing a system under heavy load,
Which metric measures the percentage of defects found by testing versus defects found by customers after release?,Answer 74,Defect Density,
Which metric measures the percentage of defects found by testing versus defects found by customers after release?,Answer 75,Defect Removal Efficiency (DRE),
Which metric measures the percentage of defects found by testing versus defects found by customers after release?,Answer 76,Code Coverage,
Which metric measures the percentage of defects found by testing versus defects found by customers after release?,Answer 77,Test Execution Rate,
What is the primary focus of Non-Functional Testing?,Answer 78,Testing specific features and functions,
What is the primary focus of Non-Functional Testing?,Answer 79,Testing how the system performs under various conditions,
What is the primary focus of Non-Functional Testing?,Answer 80,Testing user interfaces,
What is the primary focus of Non-Functional Testing?,Answer 81,Testing database schemas,
Which of the following is a static testing technique?,Answer 82,Unit Testing,
Which of the following is a static testing technique?,Answer 83,Integration Testing,
Which of the following is a static testing technique?,Answer 84,Code Review,
Which of the following is a static testing technique?,Answer 85,System Testing,
"What does ""Shift Left"" testing mean?",Answer 86,Moving testing activities earlier in the development lifecycle,
"What does ""Shift Left"" testing mean?",Answer 87,Moving testing to production,
"What does ""Shift Left"" testing mean?",Answer 88,Testing only on the left side of the screen,
"What does ""Shift Left"" testing mean?",Answer 89,Testing after the release,
Which test design technique involves dividing input data into classes that are expected to behave similarly?,Answer 90,Boundary Value Analysis,
Which test design technique involves dividing input data into classes that are expected to behave similarly?,Answer 91,Equivalence Partitioning,
Which test design technique involves dividing input data into classes that are expected to behave similarly?,Answer 92,Decision Table Testing,
Which test design technique involves dividing input data into classes that are expected to behave similarly?,Answer 93,State Transition Testing,
Boundary Value Analysis (BVA) focuses on:,Answer 94,Random data inputs,
Boundary Value Analysis (BVA) focuses on:,Answer 95,Values at the edges of equivalence partitions,
Boundary Value Analysis (BVA) focuses on:,Answer 96,Only positive test scenarios,
Boundary Value Analysis (BVA) focuses on:,Answer 97,Internal code structure,
What is the main purpose of Continuous Integration (CI) in QA?,Answer 98,To deploy software to production automatically,
What is the main purpose of Continuous Integration (CI) in QA?,Answer 99,To merge code changes frequently and verify them with automated builds and tests,
What is the main purpose of Continuous Integration (CI) in QA?,Answer 100,To write documentation continuously,
What is the main purpose of Continuous Integration (CI) in QA?,Answer 101,To perform manual testing every day,
Which of the following is an example of a defect priority (not severity)?,Answer 102,Critical,
Which of the following is an example of a defect priority (not severity)?,Answer 103,High,
Which of the following is an example of a defect priority (not severity)?,Answer 104,Medium,
Which of the following is an example of a defect priority (not severity)?,Answer 105,All of the above can be priorities,
What does Code Coverage measure?,Answer 106,The percentage of requirements covered by tests,
What does Code Coverage measure?,Answer 107,The percentage of code executed by tests,
What does Code Coverage measure?,Answer 108,The number of bugs found per test,
What does Code Coverage measure?,Answer 109,The time taken to execute tests,
Which testing type evaluates the system's behavior under expected load conditions?,Answer 110,Stress Testing,
Which testing type evaluates the system's behavior under expected load conditions?,Answer 111,Load Testing,
Which testing type evaluates the system's behavior under expected load conditions?,Answer 112,Volume Testing,
Which testing type evaluates the system's behavior under expected load conditions?,Answer 113,Spike Testing,
What is a Test Oracle?,Answer 114,A person who predicts test outcomes,
What is a Test Oracle?,Answer 115,A mechanism for determining whether a test has passed or failed,
What is a Test Oracle?,Answer 116,A database of all test cases,
What is a Test Oracle?,Answer 117,A tool that generates test data,
"In Risk-Based Testing, what determines the priority of test cases?",Answer 118,The order in which features were developed,
"In Risk-Based Testing, what determines the priority of test cases?",Answer 119,The likelihood and impact of potential failures,
"In Risk-Based Testing, what determines the priority of test cases?",Answer 120,The preferences of the test manager,
"In Risk-Based Testing, what determines the priority of test cases?",Answer 121,Alphabetical order of feature names,
What is the purpose of the Traceability Matrix?,Answer 122,To track code changes,
What is the purpose of the Traceability Matrix?,Answer 123,"To map requirements to test cases, ensuring all requirements are tested",
What is the purpose of the Traceability Matrix?,Answer 124,To assign tasks to testers,
What is the purpose of the Traceability Matrix?,Answer 125,To calculate test coverage of code statements,
Which of the following best describes Unit Testing?,Answer 126,Testing the complete integrated system,
Which of the following best describes Unit Testing?,Answer 127,Testing individual components or modules in isolation,
Which of the following best describes Unit Testing?,Answer 128,Testing the user interface,
Which of the following best describes Unit Testing?,Answer 129,Testing system security,
What is Pair Testing?,Answer 130,Testing two applications simultaneously,
What is Pair Testing?,Answer 131,Two team members working together to test the same feature,
What is Pair Testing?,Answer 132,Testing on two different browsers,
What is Pair Testing?,Answer 133,Testing with two different test data sets,
Which document describes the detailed steps to execute a specific test?,Answer 134,Test Plan,
Which document describes the detailed steps to execute a specific test?,Answer 135,Test Strategy,
Which document describes the detailed steps to execute a specific test?,Answer 136,Test Case,
Which document describes the detailed steps to execute a specific test?,Answer 137,Requirement Specification,
"What does ""Validation"" mean in software quality?",Answer 138,Are we building the product correctly?,
"What does ""Validation"" mean in software quality?",Answer 139,Are we building the correct product?,
"What does ""Validation"" mean in software quality?",Answer 140,Is the code optimized?,
"What does ""Validation"" mean in software quality?",Answer 141,Is the documentation complete?,
Which tool type is used to perform static analysis on source code without executing it?,Answer 142,Performance testing tool,
Which tool type is used to perform static analysis on source code without executing it?,Answer 143,Static analysis tool,
Which tool type is used to perform static analysis on source code without executing it?,Answer 144,Test management tool,
Which tool type is used to perform static analysis on source code without executing it?,Answer 145,Defect tracking tool,
What is the primary purpose of Acceptance Testing?,Answer 146,To find syntax errors in code,
What is the primary purpose of Acceptance Testing?,Answer 147,To determine if the system meets business requirements and is ready for deployment,
What is the primary purpose of Acceptance Testing?,Answer 148,To test individual modules,
What is the primary purpose of Acceptance Testing?,Answer 149,To measure system performance,
Which of the following is a characteristic of good test cases?,Answer 150,They are vague and general,
Which of the following is a characteristic of good test cases?,Answer 151,They are repeatable and have clear expected results,
Which of the following is a characteristic of good test cases?,Answer 152,They require no setup or preconditions,
Which of the following is a characteristic of good test cases?,Answer 153,They test multiple unrelated features at once,
What does ISTQB stand for?,Answer 154,International Software Testing Qualifications Board,
What does ISTQB stand for?,Answer 155,International Standard for Testing Quality Benchmarks,
What does ISTQB stand for?,Answer 156,Institute for Software Testing and Quality Business,
What does ISTQB stand for?,Answer 157,International Society for Testers and Quality Builders,
What is Exploratory Testing?,Answer 158,Testing without any planning or documentation,
What is Exploratory Testing?,Answer 159,"Simultaneous learning, test design, and test execution",
What is Exploratory Testing?,Answer 160,Automated testing of user interfaces,
What is Exploratory Testing?,Answer 161,Testing performed only by end users,
Which of the following is NOT a level of testing in the traditional testing pyramid?,Answer 162,UI Tests,
Which of the following is NOT a level of testing in the traditional testing pyramid?,Answer 163,Unit Tests,
Which of the following is NOT a level of testing in the traditional testing pyramid?,Answer 164,Integration Tests,
Which of the following is NOT a level of testing in the traditional testing pyramid?,Answer 165,Deployment Tests,
What is Test-Driven Development (TDD)?,Answer 166,Writing tests after coding is complete,
What is Test-Driven Development (TDD)?,Answer 167,Writing tests before writing the corresponding code,
What is Test-Driven Development (TDD)?,Answer 168,Testing only when defects are reported,
What is Test-Driven Development (TDD)?,Answer 169,Developing tests using automation tools only,
Which testing approach involves testing the system with knowledge of its internal structure and code?,Answer 170,Black-box testing,
Which testing approach involves testing the system with knowledge of its internal structure and code?,Answer 171,White-box testing,
Which testing approach involves testing the system with knowledge of its internal structure and code?,Answer 172,Gray-box testing,
Which testing approach involves testing the system with knowledge of its internal structure and code?,Answer 173,Ad-hoc testing,
What is the primary purpose of a Defect/Bug Report?,Answer 174,To assign blame to developers,
What is the primary purpose of a Defect/Bug Report?,Answer 175,To communicate defect information clearly for reproduction and fixing,
What is the primary purpose of a Defect/Bug Report?,Answer 176,To delay the project,
What is the primary purpose of a Defect/Bug Report?,Answer 177,To replace test cases,
Which of these is an example of a non-functional requirement?,Answer 178,The system shall allow users to create an account,
Which of these is an example of a non-functional requirement?,Answer 179,The system shall process 1000 transactions per second,
Which of these is an example of a non-functional requirement?,Answer 180,The system shall display user profiles,
Which of these is an example of a non-functional requirement?,Answer 181,The system shall send email notifications,
"What does ""Smoke Testing"" refer to?",Answer 182,Exhaustive testing of all features,
"What does ""Smoke Testing"" refer to?",Answer 183,A preliminary test to reveal simple failures severe enough to reject a build,
"What does ""Smoke Testing"" refer to?",Answer 184,Testing under extreme heat conditions,
"What does ""Smoke Testing"" refer to?",Answer 185,Testing that produces smoke effects in UI,
"Which quality model defines characteristics like Functionality, Reliability, Usability, Efficiency, Maintainability, and Portability?",Answer 186,CMMI,
"Which quality model defines characteristics like Functionality, Reliability, Usability, Efficiency, Maintainability, and Portability?",Answer 187,ISO/IEC 25010 (SQuaRE),
"Which quality model defines characteristics like Functionality, Reliability, Usability, Efficiency, Maintainability, and Portability?",Answer 188,Six Sigma,
"Which quality model defines characteristics like Functionality, Reliability, Usability, Efficiency, Maintainability, and Portability?",Answer 189,ITIL,
What is the primary difference between Verification and Validation?,Answer 190,There is no difference,
What is the primary difference between Verification and Validation?,Answer 191,Verification checks conformance to specifications; Validation checks fitness for use,
What is the primary difference between Verification and Validation?,Answer 192,Verification is done by testers; Validation by developers,
What is the primary difference between Verification and Validation?,Answer 193,Verification is automated; Validation is manual,
In which phase of the SDLC is the cost of fixing a defect typically lowest?,Answer 194,Testing,
In which phase of the SDLC is the cost of fixing a defect typically lowest?,Answer 195,Requirements,
In which phase of the SDLC is the cost of fixing a defect typically lowest?,Answer 196,Production/Maintenance,
In which phase of the SDLC is the cost of fixing a defect typically lowest?,Answer 197,Design,
What is Alpha Testing?,Answer 198,Testing performed by end users at the developer's site,
What is Alpha Testing?,Answer 199,Testing performed by end users at their own location,
What is Alpha Testing?,Answer 200,Automated regression testing,
What is Alpha Testing?,Answer 201,Performance testing with alpha software,
Which tool is primarily used for managing and tracking defects?,Answer 202,JMeter,
Which tool is primarily used for managing and tracking defects?,Answer 203,Jira,
Which tool is primarily used for managing and tracking defects?,Answer 204,Jenkins,
Which tool is primarily used for managing and tracking defects?,Answer 205,Selenium,
"What does ""Sanity Testing"" verify?",Answer 206,The entire application functionality,
"What does ""Sanity Testing"" verify?",Answer 207,Whether specific functionality works roughly as expected after minor changes,
"What does ""Sanity Testing"" verify?",Answer 208,The security of the application,
"What does ""Sanity Testing"" verify?",Answer 209,The database integrity only,
What is the main purpose of a Test Strategy document?,Answer 210,To provide day-to-day test execution instructions,
What is the main purpose of a Test Strategy document?,Answer 211,"To define the high-level approach, objectives, and scope of testing for the organization/project",
What is the main purpose of a Test Strategy document?,Answer 212,To log defects found during testing,
What is the main purpose of a Test Strategy document?,Answer 213,To record test results,
Which approach involves writing tests based on the expected behavior of the system from the user's perspective?,Answer 214,Behavior-Driven Development (BDD),
Which approach involves writing tests based on the expected behavior of the system from the user's perspective?,Answer 215,Data-Driven Testing,
Which approach involves writing tests based on the expected behavior of the system from the user's perspective?,Answer 216,Keyword-Driven Testing,
Which approach involves writing tests based on the expected behavior of the system from the user's perspective?,Answer 217,Model-Based Testing,
"What is a ""flaky test""?",Answer 218,A test that always passes,
"What is a ""flaky test""?",Answer 219,A test that produces inconsistent results (passes and fails) without code changes,
"What is a ""flaky test""?",Answer 220,A test that never runs,
"What is a ""flaky test""?",Answer 221,A test that only runs on weekends,
What is the main benefit of Test Automation?,Answer 222,It eliminates the need for manual testing completely,
What is the main benefit of Test Automation?,Answer 223,"It enables repeatable, fast execution of regression tests",
What is the main benefit of Test Automation?,Answer 224,It finds more bugs than manual testing,
What is the main benefit of Test Automation?,Answer 225,It requires no maintenance,
Which of the following is a key metric for measuring test effectiveness?,Answer 226,Number of test cases written,
Which of the following is a key metric for measuring test effectiveness?,Answer 227,Defect Detection Percentage (DDP),
Which of the following is a key metric for measuring test effectiveness?,Answer 228,Number of meetings attended,
Which of the following is a key metric for measuring test effectiveness?,Answer 229,Lines of code written,
"What is the purpose of a ""Definition of Done"" (DoD) in Agile QA?",Answer 230,To define when a user story or feature meets all quality criteria and is releasable,
"What is the purpose of a ""Definition of Done"" (DoD) in Agile QA?",Answer 231,To end the project when resources run out,
"What is the purpose of a ""Definition of Done"" (DoD) in Agile QA?",Answer 232,To define daily working hours,
"What is the purpose of a ""Definition of Done"" (DoD) in Agile QA?",Answer 233,To assign specific defects to developers,
Which testing technique is based on the tester's experience and intuition to find defects?,Answer 234,Scripted testing,
Which testing technique is based on the tester's experience and intuition to find defects?,Answer 235,Error Guessing,
Which testing technique is based on the tester's experience and intuition to find defects?,Answer 236,Equivalence Partitioning,
Which testing technique is based on the tester's experience and intuition to find defects?,Answer 237,Decision Table,
